,Question,Answer
47,"
Q: Easiest way to put python text game in html?        ","0 I am developing a website with python3.8 and Sanic. It was pretty to use async, await and := ~ share|| follow |||| answered Jan 31 at 2:53 Waket ZhengWaket Zheng 1,53511 gold badge55 silver badges1414 bronze badges add a comment |"
48,"
Q: Python Text file statistics        ","1 There are a few problems with your code. Specifically, the method split() with no arguments splits a string on any white-space rather than line boundaries. splitlines() will split on lines. Additionally your code: word_count += len(wordslist) is adding the length of the wordslist to the word count for each element of your wordslist. This is almost definitely not what you want! Also note that your code: for char in ': , . ! ?': data = data.replace(char,' ') is replacing each character from the supplied string (': , . ! ?':') with a space. However because your string of characters contains spaces itself, you are needlessly replacing all spaces in data with spaces 4 times over. It won't change the results, but it makes your code less efficient. Instead you could achieve more correct results with code like this: with open('book.txt','r') as file: data = file.read() for char in ':,.!?': data = data.replace(char,' ') word_count = len(data.split()) #count of words separated by whitespace line_count = len(data.splitlines()) #count of lines in data print(word_count,line_count) Addendum It was also asked in comments how to get the character count. Assuming that the character count should count all characters that are not whitespace (tabs, newlines etc) or in the list of special characters, then it could be done with regular expressions: import re #original code that stripped out punctuation here chars_only = re.sub(r""\s+"", """", data, flags=re.UNICODE) char_count = len(chars_only) re.sub performs a regular expression substitution, replacing characters that match the expression r""\s+"" (which is the equivalent of ""all whitespace characters"") with the second argument - an empty string in this case. However, it should be noted that this char_count would include any punctuation characters that aren't in the original list of special punctuation characters (such as apostrophes). share|| follow |||| edited May 24 '18 at 5:04 answered May 24 '18 at 4:20 Matt CoubroughMatt Coubrough 3,10822 gold badges2020 silver badges3333 bronze badges That would be another question entirely, but you'd have to remove all whitespace from data and then take its length. If the whitespace is only spaces and not newlines/tabs etc then you could just use len(data.replace(' ','')), However to remove all whitespace including tabs newlines etc would require regular expressions such as this answer: stackoverflow.com/a/28607213/3651800 – Matt Coubrough May 24 '18 at 4:32 I have added an example of how regular expressions could be used to get a char only count - 'regex' may seem a bit scary at first, and there are non-regex ways of doing this, but learning regex is definitely worthwhile for any software developer as it can often reduce dozens of lines of code to a single line. – Matt Coubrough May 24 '18 at 5:08 add a comment |"
49,"
Q: How can I read large text files in Python, line by line, without loading it into memory?        ","298 I provided this answer because Keith's, while succinct, doesn't close the file explicitly with open(""log.txt"") as infile: for line in infile: do_something_with(line) share|| follow |||| edited Jun 25 '11 at 3:28 answered Jun 25 '11 at 2:26 John La RooyJohn La Rooy 239k4545 gold badges315315 silver badges458458 bronze badges 25 the question still is, ""for line in infile"" will load my 5GB of lines in to the memory? and, How can I read from tail? – Bruno Rocha - rochacbruno Jun 25 '11 at 2:31 62 @rochacbruno, it only reads one line at a time. When the next line is read, the previous one will be garbage collected unless you have stored a reference to it somewhere else – John La Rooy Jun 25 '11 at 2:33 1 @rochacbruno, Reading the lines in reverse order is not as easy to do efficiently unfortunately. Generally you would want to read from the end of the file in sensible sized chunks (kilobytes to megabytes say) and split on newline characters ( or whatever the line ending char is on your platform) – John La Rooy Jun 25 '11 at 2:36 4 Thanks! I found the tail solution stackoverflow.com/questions/5896079/… – Bruno Rocha - rochacbruno Jun 25 '11 at 3:09 1 @bawejakunal, Do you mean if a line is too long to load into memory at once? That is unusual for a text file. Instead of using for loop which iterates over the lines, you can use chunk = infile.read(chunksize) to read limited size chunks regardless of their content. You'll have to search inside the chunks for newlines yourself. – John La Rooy Jan 9 '18 at 21:50 | show 5 more comments"
50,"
Q: How to check if text is “empty” (spaces, tabs, newlines) in Python?        ","300 yourString.isspace() ""Return true if there are only whitespace characters in the string and there is at least one character, false otherwise."" Combine that with a special case for handling the empty string. Alternatively, you could use strippedString = yourString.strip() And then check if strippedString is empty. share|| follow |||| edited Mar 8 '10 at 22:54 rjmunro 23.3k1818 gold badges9999 silver badges124124 bronze badges answered Mar 8 '10 at 22:30 VladislavVladislav 3,63611 gold badge1515 silver badges1515 bronze badges This fails in Python 2.4 if string contains a non-breaking space, charcode U+00A0 or ALT+160. Looks fixed in Python 2.7, however. – Kumba Dec 22 '12 at 1:51 16 Keep in mind that this does not check for None, or '' – Parth Mehrotra Sep 9 '15 at 18:30 1 In python 2.7.13, isspace() will consider non-breaking space as a space. Nice! – Iching Chang Jul 28 '17 at 7:28 add a comment |"
51,"
Q: Text processing - Python vs Perl performance [closed]        ","18 This is exactly the sort of stuff that Perl was designed to do, so it doesn't surprise me that it's faster. One easy optimization in your Python code would be to precompile those regexes, so they aren't getting recompiled each time. exists_re = re.compile(r'^(.*?) INFO.*Such a record already exists') location_re = re.compile(r'^AwbLocation (.*?) insert into') And then in your loop: mprev = exists_re.search(currline) and mcurr = location_re.search(currline) That by itself won't magically bring your Python script in line with your Perl script, but repeatedly calling re in a loop without compiling first is bad practice in Python. share|| follow |||| answered Oct 9 '12 at 6:03 Josh WrightJosh Wright 2,3291313 silver badges2020 bronze badges 3 re caches recently-used regexes, so this is probably not a huge issue. – nneonneo Oct 9 '12 at 6:05 5 @nneonneo I've heard that numerous times and I've seen the lines in the re source code which do the caching. But somehow I've never seen a benchmark that puts the two in the same order of magnitude, but several benchmarks (including a quick and dirty one I did a second ago) which put the pre-compiling option at several times faster. – user395760 Oct 9 '12 at 6:15 3 Interesting. Well, it's definitely good practice to precompile regexes, but I didn't really pay attention to the performance gap. Care to share the numbers? – nneonneo Oct 9 '12 at 6:17 add a comment |"
52,"
Q: Python Text Adventure Loop        ","2 Use a while loop: obj1 = input(...) while obj1 not in ('a', 'b'): obj1 = input(""Invalid. Enter again: "") if obj1 == 'a': ... elif obj1 == 'b': ... share|| follow |||| answered Feb 22 '14 at 22:09 ChristianChristian 29.4k55 gold badges4141 silver badges6565 bronze badges add a comment |"
53,"
Q: Python - Text Processing        ","0 I'm not 100% sure of what you're trying to do, but I think this should get you on the right tracks: lines = open(""register.txt"", ""r"").readlines() search_counters = { ""Per End"": 0, ""File:"": 0, } lines = [line for line in lines if line] # removes empty lines, if there are any for i, line in enumerate(lines): for search_key in search_counters.keys(): if search_key in line: search_counters[search_key] += 1 # print the previous line if the current line contains ""Per End"": if search_key == ""Per End"": print ""previous line:"", lines[i-1] share|| follow |||| answered Apr 7 '17 at 13:12 smasseysmassey 5,1351919 silver badges3333 bronze badges So this works well. But only to a point. After adding a few more IF statements I get that a certain variable is ""not defined"" even though it is set up in the Dictionary and everything is coded the same way as the other items. Not sure what I am doing wrong. – Jason Jabbour Apr 17 '17 at 20:57 add a comment |"
54,"
Q: Python text extraction        ","1 You need to track what section you are in as you are parsing the file. There are cleaner ways to write the state machine, but as a quick and simple example, you could do something like below. Basically, add all the lines for each section to a list for that section, then combine the lists and do whatever at the end. Note, I didn't test this, just psuedo-coding to show you the general idea. authors = [] title = [] section = None for line in articles: line = line.strip() # Check for start of new section, select the right list to add to if line.startswith(""AU""): line = line[3:] section = authors elif line.startswith(""TI""): line = line[3:] section = title # Other sections.. ... # Add line to the current section if line and section is not None: section.append(line) authors_str = ', '.join(authors) title_str = ' '.join(title) print authors_str, title_str share|| follow |||| edited Feb 4 '19 at 17:32 answered Feb 4 '19 at 16:37 Ryan WidmaierRyan Widmaier 4,71011 gold badge1818 silver badges2323 bronze badges With this code the output is empty atm, It seems like it can't search the txt file for lines starting with ""AU"" – André Kalmendal Feb 4 '19 at 16:59 section check needs to be ""section is not None"". I updated it, but as I stated in the description, it's intended as psuedo code to give you the general idea. You will need to adapt to fully implement your case. – Ryan Widmaier Feb 4 '19 at 17:31 add a comment |"
55,"
Q: Python text search question [closed]        ","3 Let's see... return [x for x in document.split() if 'a' in x and sum((1 if y in 'abcdef' else 0 for y in x)) >= 3] split with no parameters acts as a ""words"" function, splitting on any whitespace and removing words that contain no characters. Then you check if the letter 'a' is in the word. If 'a' is in the word, you use a generator expression that goes over every letter in the word. If the letter is inside of the string of available letters, then it returns a 1 which contributes to the sum. Otherwise, it returns 0. Then if the sum is 3 or greater, it keeps it. A generator is used instead of a list comprehension because sum will accept anything iterable and it stops a temporary list from having to be created (less memory overhead). It doesn't have the best access times because of the use of in (which on a string should have an O(n) time), but that generally isn't a very big problem unless the data sets are huge. You can optimize that a bit to pack the string into a set and the constant 'abcdef' can easily be a set. I just didn't want to ruin the nice one liner. EDIT: Oh, and to improve time on the if portion (which is where the inefficiencies are), you could separate it out into a function that iterates over the string once and returns True if the conditions are met. I would have done this, but it ruined my one liner. EDIT 2: I didn't see the ""must have 3 different characters"" part. You can't do that in a one liner. You can just take the if portion out into a function. def is_valid(word, chars): count = 0 for x in word: if x in chars: count += 1 chars.remove(x) return count >= 3 and 'a' not in chars def parse_document(document): return [x for x in document.split() if is_valid(x, set('abcdef'))] This one shouldn't have any performance problems on real world data sets. share|| follow |||| edited Sep 22 '11 at 18:50 answered Sep 22 '11 at 16:46 Jonathan SternbergJonathan Sternberg 5,42344 gold badges3030 silver badges5656 bronze badges +1 for pedagogical value but I'd be surprised if this could handle a real world dataset with acceptable speed – Profane Sep 22 '11 at 17:55 It would actually work on a real world data set better than you think. Words are generally not that long and the in statement on 'abcdef' is very quick. If you used something like pypy, it would probably run at similar speeds to a properly optimized C program. – Jonathan Sternberg Sep 22 '11 at 18:45 add a comment |"
56,"
Q: python text parsing and splitting        ","1 NOAA data is usually formatted pretty regularly. The best approach is to split the input into separate lines and then loop through line-by-line. Skip lines, unless they start with a phrase or keyword you're interested in. For example: for line in text.split('\n'): if any([re.match('^: [0-9]{4} [AP]M', line), # matches : 1249 PM line.startswith(': CITY OF'), # CITY OF... line.startswith('.A D')]): # .A D.... saveFile.write(line) (You'll need to modify the above base on what the actual, possible line values are.) share|| follow |||| answered Mar 5 '17 at 21:03 pbuckpbuck 2,88422 gold badges1515 silver badges2525 bronze badges Thank you! Very useful – Behi Mar 5 '17 at 21:31 add a comment |"
57,"
Q: Add text to Existing PDF using Python        ","84 I know this is an older post, but I spent a long time trying to find a solution. I came across a decent one using only ReportLab and PyPDF so I thought I'd share: read your PDF using PdfFileReader(), we'll call this input create a new pdf containing your text to add using ReportLab, save this as a string object read the string object using PdfFileReader(), we'll call this text create a new PDF object using PdfFileWriter(), we'll call this output iterate through input and apply .mergePage(*text*.getPage(0)) for each page you want the text added to, then use output.addPage() to add the modified pages to a new document This works well for simple text additions. See PyPDF's sample for watermarking a document. Here is some code to answer the question below: packet = StringIO.StringIO() can = canvas.Canvas(packet, pagesize=letter) <do something with canvas> can.save() packet.seek(0) input = PdfFileReader(packet) From here you can merge the pages of the input file with another document. share|| follow |||| edited Dec 10 '18 at 17:43 user8554766 answered Feb 1 '10 at 23:28 dwelchdwelch 2,47822 gold badges1818 silver badges1111 bronze badges 2 ""create a new pdf containing your text to add using ReportLab, save this as a string object"" How do you do that? Its a canvas instance. – Lakshman Prasad Apr 16 '10 at 8:23 1 I've added some sample code above to answer Lakshman's question. – dwelch Dec 1 '10 at 15:58 I recommend using PyPDF2 since it is more updated, also check their sample code: github.com/mstamy2/PyPDF2/blob/… – blaze Apr 23 '15 at 4:06 2 This code will create a new pdf file and will skip all metadata. So it's not appending to existing pdf. – Anton Kukoba Apr 23 '18 at 11:56 add a comment |"
58,"
Q: Python text to HTML link [closed]        ","2 As an alternative, if you wanted to open links from the shell, you can use the webbrowser module. import webbrowser urls = ['http://www.xkcd.org/', 'http://stackoverflow.com/questions/22213479/python-text-to-html-link', 'http://docs.python.org/2/library/webbrowser.html'] for url in urls: webbrowser.open_new_tab(url) share|| follow |||| answered Mar 6 '14 at 2:50 user764357user764357 ....Thanks a lot-Both Useful answers!! – ashwin shanker Mar 7 '14 at 9:01 add a comment |"
59,"
Q: Python text parser for C++ program?        ","2 Yes you can. You have to embed the python interpreter in your application. Your calling code would seem something like: Py_Initialize(); PyRun_SimpleString(""import parser\n"" ""parse("" + program_code + "")\n""); There is a whole section in the docs dedicated to embedding Python. share|| follow |||| answered Jun 26 '18 at 6:30 BaltasarqBaltasarq 10.6k11 gold badge3232 silver badges4949 bronze badges add a comment |"
60,"
Q: How to erase the file contents of text file in Python?        ","258 In python: open('file.txt', 'w').close() Or alternatively, if you have already an opened file: f = open('file.txt', 'r+') f.truncate(0) # need '0' when using r+ In C++, you could use something similar. share|| follow |||| edited Jun 28 '18 at 20:38 Ctrl S 8911010 silver badges2929 bronze badges answered May 4 '10 at 21:27 ondraondra 6,92611 gold badge2121 silver badges3333 bronze badges #include<fstream> and then std::ofstream(""file.txt""); about as short as in Python. :) – wilhelmtell May 4 '10 at 21:44 7 the reason this works (in both C++ and python) is because by default when you open a file for writing, it truncates the existing contents. So really it's sorta a side effect, and thus I would prefer the explicit call to truncate() for clarity reasons, even though it is unnecessary. – rmeador May 4 '10 at 22:05 7 if you have opened the file using ""r+"", use truncate(0) if you have parsed file, which you likely has. Add this to the answer above to have it complete! – Johan Engblom Apr 20 '17 at 7:57 3 use f.seek(0) to move the pointer to the beginning of the file – Johan Engblom Apr 20 '17 at 8:05 add a comment |"
61,"
Q: Writing Python text file        ","1 you need to do this- import string alphabet= string.ascii_lowercase for letter in alphabet: with open(letter+"".txt"",'w') as file: file.write(letter) share|| follow |||| answered Feb 18 '17 at 13:45 MD. Khairul BasarMD. Khairul Basar 3,7171010 gold badges3030 silver badges4848 bronze badges add a comment |"
62,"
Q: Python text to xml converting solutions        ","0 from your code I would say, its just a typo - you are looking for 'duration', but the file only holds 'Duration', with a capital D. Thus, g is never set. You can avoid this behavior by initializing your variables at the beginning by setting them to an empty string. On a side note, for such an easy task like checking for a word within a line you do not need re, try the - I guess - more ""pythonic"" way: if 'Duration' in line: #do something share|| follow |||| answered Sep 12 '13 at 10:52 FaultierFaultier 96611 gold badge1010 silver badges2020 bronze badges add a comment |"
63,"
Q: Python text file append error        ","2 As said in a different answer the problem is your string handling when writing to the file. I would recommend to use string formatting: hp.write(""\n'%s': ['%s', '%s']"" % (key, usr, psw)) See https://pyformat.info/ Recommended code: # Ask for variables to add key = raw_input(""Which app: "") usr = raw_input(""Username: "") psw = raw_input(""Password: "") # Open file with open(""Passwords.txt"", ""a"") as hp: # Add line with same format as the rest of lines hp.write(""\n'%s': ['%s', '%s']"" % (key, usr, psw)) If you use the with open(...) as ...: you don't have to call the close method, it's called automatically when you exit the with's scope. share|| follow |||| answered Jun 6 '17 at 12:57 Paco H.Paco H. 1,69533 silver badges1515 bronze badges add a comment |"
64,"
Q: How to determine the encoding of text?        ","219 Correctly detecting the encoding all times is impossible. (From chardet FAQ:) However, some encodings are optimized for specific languages, and languages are not random. Some character sequences pop up all the time, while other sequences make no sense. A person fluent in English who opens a newspaper and finds “txzqJv 2!dasd0a QqdKjvz” will instantly recognize that that isn't English (even though it is composed entirely of English letters). By studying lots of “typical” text, a computer algorithm can simulate this kind of fluency and make an educated guess about a text's language. There is the chardet library that uses that study to try to detect encoding. chardet is a port of the auto-detection code in Mozilla. You can also use UnicodeDammit. It will try the following methods: An encoding discovered in the document itself: for instance, in an XML declaration or (for HTML documents) an http-equiv META tag. If Beautiful Soup finds this kind of encoding within the document, it parses the document again from the beginning and gives the new encoding a try. The only exception is if you explicitly specified an encoding, and that encoding actually worked: then it will ignore any encoding it finds in the document. An encoding sniffed by looking at the first few bytes of the file. If an encoding is detected at this stage, it will be one of the UTF-* encodings, EBCDIC, or ASCII. An encoding sniffed by the chardet library, if you have it installed. UTF-8 Windows-1252 share|| follow |||| edited Apr 3 '17 at 15:54 davidism 81.7k1616 gold badges248248 silver badges243243 bronze badges answered Jan 12 '09 at 17:45 nosklonosklo 176k5151 gold badges265265 silver badges279279 bronze badges 1 Thanks for the chardet reference. Seems good, although a bit slow. – Craig McQueen Jan 28 '10 at 5:15 Not been able to detect the encoding all the time...isn't this a flaw in the encoding standard? shouldn't this be allways predictable? – Geomorillo Dec 1 '13 at 21:40 14 @Geomorillo: There's no such thing as ""the encoding standard"". Text encoding is something as old as computing, it grew organically with time and needs, it wasn't planned. ""Unicode"" is an attempt to fix this. – nosklo Dec 2 '13 at 14:34 1 And not a bad one, all things considered. What I would like to know is, how do I find out what encoding an open text file was opened with? – holdenweb Mar 14 '14 at 6:27 1 @dumbledad what I said is that correctly detecting it all times is impossible. All you can do is a guess, but it can fail sometimes, it won't work every time, due to encodings not being really detectable. To do the guess, you can use one of the tools I suggested in the answer – nosklo Apr 20 '18 at 15:41 | show 7 more comments"
65,"
Q: Very Basic Python Text Adventure        ","2 As @dave mankoff suggested, you should use a ""state machine"". Here is more detail about that. For a basic state machine, you need a ""state variable"", a variable that keeps track of the current state. Then, as the user makes choices, the state variable gets updated to reflect the new state. You can call the state variable anything, but I suggest calling it state. That's traditional and pretty straightforward. You can use any set of unique values to keep track of the state, as long as you can map the unique values onto the states you want. In most languages you would use an ""enum"", an enumerated constant, but Python has historically not had enums. (They are being added as of Python 3.4, which at this time is in alpha release.) A simple way is to use strings for the states, and have the strings describe the states. So for your game, most of the states will be places the player can go: ""library"", ""kitchen"", ""potion_storage_room"" or whatever. But you might also have states that don't strictly map to single places, such as: ""wandering_around"" (in a daze after drinking the wrong potion?). You can also use integers, something like this: LIBRARY, KITCHEN, POTION_STORAGE_ROOM, WANDERING_AROUND = range(4) Now LIBRARY is set to integer 0, KITCHEN is set to integer 1, and so on. I think strings might be easier, but if you search for examples of state machines, you will probably see the above trick being used for integer states for the state machine. You might want to study the book/website Learn Python the Hard Way. Exercise 43 shows a simple text game. It uses a state machine with strings to represent the state. There is example code for a simple game, and you could run the code and play the game to see how it works. (It doesn't look like a very fun game, but I think the author of that book wants to encourage you to do a better one!) http://learnpythonthehardway.org/ http://learnpythonthehardway.org/book/ex43.html share|| follow |||| edited Oct 22 '13 at 18:38 answered Oct 21 '13 at 19:54 stevehasteveha 62.1k1616 gold badges8080 silver badges107107 bronze badges add a comment |"
66,"
Q: Python Text to Speech in Macintosh        ","36 Wouldn't it be much simpler to do this? from os import system system('say Hello world!') You can enter man say to see other things you can do with the say command. However, if you want some more advanced features, importing AppKit would also be a possibility, although some Cocoa/Objective C knowledge is needed. from AppKit import NSSpeechSynthesizer speechSynthesizer = NSSpeechSynthesizer.alloc().initWithVoice_(""com.apple.speech.synthesis.voice.Bruce"") speechSynthesizer.startSpeakingString_('Hi! Nice to meet you!') If you would like to see more things you can do with NSSpeechSynthesizer take a look at Apple's documentation: https://developer.apple.com/library/mac/#documentation/Cocoa/Reference/ApplicationKit/Classes/NSSpeechSynthesizer_Class/Reference/Reference.html share|| follow |||| edited Jan 24 '16 at 12:52 Frederik 12k77 gold badges3939 silver badges5151 bronze badges answered Oct 6 '12 at 16:12 rien333rien333 9971010 silver badges1515 bronze badges 1 if hello world is in a variable how do i make say speak it? I tried AppKit but it's not available. `easy_install' was not able to do it either. how do i do that? – VeilEclipse Oct 6 '12 at 20:04 If you want to pass a variable to the say command, you could do this: str = ""Test"" system('say %s' % (str)) – rien333 Oct 6 '12 at 20:15 The code snippet in this answer is slightly off. .alloc is a function, so it should be .alloc() – Ben Keating Jan 7 '15 at 15:06 Including an apostrophe in the string may cause this to not work. For example trying to do system(""Can't touch this"") will run without an error, but not actually say anything out loud. – Pro Q Oct 3 '18 at 3:21 @ProQ normal shell quoting rules apply of course. You could embed that string in literal quotes for example (like you would normally have to) – rien333 Oct 3 '18 at 16:03 | show 3 more comments"
67,"
Q: Python Text Menu Infinite Loop        ","4 You're missing a line in menu, or else missing an input elsewhere. You're not actually accepting a choice from your user yet. If you want to keep your current structure, menu should look like: def menu(): print 'options...' return int(raw_input()) Or, a little cleaner (same effect): def menu(): return int(raw_input('options...')) Otherwise, you can just call menu() and then separately accept the user's selection: while loop == 1: menu() choice = int(raw_input()) Note that I've changed your input() calls to int(raw_input()). This is a much safer way of accepting input from your user, since it prevents them from embedding arbitrary Python code in their input! Not-quite-on-topic: Now, just because I happened to notice it, I'm also going to mention that loop is a potentially-misleading variable name. Since you're just using it as a boolean, you could rewrite the while loop like this: loop = 1 while loop: # ! #do stuff This is kind of funny, but not very intuitive to read. It's usually better to simply loop indefinitely, and use break when your end condition is met: while True: # Do stuff if choice == 5: #Or whatever end condition break share|| follow |||| edited May 30 '13 at 15:09 answered May 30 '13 at 15:04 Henry KeiterHenry Keiter 14.4k66 gold badges3838 silver badges6868 bronze badges Ah thank you. I guess that would be important for them to make a selection, d'oh! – user2433340 May 30 '13 at 15:05 add a comment |"
68,"
Q: “Unicode Error ”unicodeescape"" codec can't decode bytes… Cannot open text files in Python 3 [duplicate]        ","556 The problem is with the string ""C:\Users\Eric\Desktop\beeline.txt"" Here, \U in ""C:\Users... starts an eight-character Unicode escape, such as \U00014321. In your code, the escape is followed by the character 's', which is invalid. You either need to duplicate all backslashes: ""C:\\Users\\Eric\\Desktop\\beeline.txt"" Or prefix the string with r (to produce a raw string): r""C:\Users\Eric\Desktop\beeline.txt"" share|| follow |||| edited Jul 25 '19 at 6:20 QA Collective 1,17899 silver badges2121 bronze badges answered Aug 28 '09 at 15:46 Martin v. LöwisMartin v. Löwis 107k1616 gold badges177177 silver badges223223 bronze badges 37 Hahaha... What an easy trap to fall into, like I just have. Awesome answer. – Humphrey Bogart Feb 24 '10 at 0:04 I found this error in a function docstring while porting a 2.x code to python3. – Sridhar Ratnakumar Apr 28 '10 at 20:16 6 I ran into this error when I used triple quote ''' comments around a section of code that contained a raw string with a \U in it. I.E. the string didn't give me an error until I tried to comment it out. For this reason the double backslash method might be preferred. – Chris Mueller May 22 '15 at 15:46 1 I am prefixing the string with r, but it is still giving me the error. – Bobort Oct 17 '16 at 21:01 2 A third solution (also proposed by @Adam Baylin Autuori) is to replace '\' with '/' in the path. Python understand both '\' (Windows-style) or '/' (Unix-style) as directory separator. – Jona Apr 17 '18 at 9:17 | show 2 more comments"
69,"
Q: Python text file formatting        ","0 def adjustString(deviceNumber): newData = str.replace(data, deviceNumber, '\n' + deviceNumber + ' this was device number one') return newData with open('data.txt', 'r') as myfile: data=myfile.read().replace('\n', '') output = adjustString('0103') You can then write the new string to a file as needed. with open('data.txt') as f: f.write(output) share|| follow |||| edited Dec 15 '17 at 14:22 answered Dec 15 '17 at 14:12 chumbaloochumbaloo 17811 silver badge99 bronze badges Thank you chumbaloo, it works :) Is it posible to find a string in a file and then navigate four characters more (leave the four original characters in a file) and put some text after? – cwanish Dec 18 '17 at 6:22 Hi, that is what the str.replace function does. It finds the string match in the example above the deviceNumber, then adds a new line, replaces the 4 characters with the original 4 characters, and then adds text.) So just change what you want in the str.replace function to get the desired output. if you wanted to do more fancy stuff, have a look at the re module in python. If this was helpful please accept the answer, and happy to have helped :) – chumbaloo Dec 18 '17 at 6:36 add a comment |"
70,"
Q: python text translation to speech        ","0 SAPI only supports voices that are installed. Since Microsoft doesn't have a Hindi TTS voice, you will need to look elsewhere for either a SAPI-compliant Hindi TTS voice, or a web service that supports Hindi TTS. A web search will help you with your selection. share|| follow |||| answered May 18 '18 at 17:34 Eric BrownEric Brown 13k55 gold badges2626 silver badges6565 bronze badges add a comment |"
71,"
Q: Python Text-based Game Equip Armor Stats        ","1 It sounds like each character has a base attribute score, but the effective score is the base modified by various pieces of equipment. This is a good use case for a property. class Player: def __init__(self, name): # ... self.base_stre = 1 # ... @property def stre(self): stre = self.base_stre if self.weap == ""Rusty Sword"": stre += 10 # etc return str share|| follow |||| answered Aug 11 '15 at 19:31 chepnerchepner 329k4343 gold badges324324 silver badges439439 bronze badges After I add the @property and change stre to a method in Player how would I call upon it for use in something like viewable stats so the player knows how much attack or defense they have? Basically I'm asking how would I print stre? – King Arthur Aug 11 '15 at 19:53 Properties are accessed just like plain attributes (print p.stre); the only difference is that instead of being a simple lookup (p.__dict__['stre']), it's now the return value of a method call. – chepner Aug 11 '15 at 20:37 add a comment |"
72,"
Q: Python text file in string to dictionary        ","0 import re lines=[] keys=[] values=[] with open('data', 'r') as f: lines=list(map(lambda line:line.strip(), f.readlines())) d, flag={}, False for line in lines: if re.match(r'^-+$', line): flag=True continue if flag: values.append(list(map(lambda x:x.strip(), line.split()))) else: keys=list(map(lambda x:x.strip(), line.split())) for i in range(len(keys)): d[keys[i]]=[value[i] for value in values] print(d) and here is the output: $ cat data Age Sex ------------ GT20 M LT20 F $ python3 p.py {'Sex': ['M', 'F'], 'Age': ['GT20', 'LT20']} share|| follow |||| answered May 17 '16 at 7:15 riteshtchriteshtch 7,93944 gold badges1818 silver badges3535 bronze badges add a comment |"
73,"
Q: cleaning text files in python 2 : TypeError: coercing to Unicode:        ","0 import nltk form nltk import word_tokenize from nltk.corpus import stopwords #nltk.download() import string from string import digits import glob import re def cleanupDoc(s): #s = s.translate(None,digits) #s = s.rstrip('\n') stopset = set(stopwords.words('english')) tokens = nltk.word_tokenize(s) cleanup = "" "".join(filter(lambda word: word not in stopset, s.split())) return cleanup flist=glob.glob('/home/uiucinfo/Desktop/*txt') mylist=[] for fname in flist: tfile = open(fname, 'r+') line = tfile.readlines() #line = cleanupDoc(line) mylist.append(line) for fdoc in mylist: # remove \n or digit from fdoc fdoc = [re.sub(r'[\""\n]|\d', '', x) for x in fdoc] # convert list to string fdoc = ''.join(fdoc) print fdoc newDoc = cleanupDoc(fdoc) print "" newDoc: "" , newDoc share|| follow |||| answered Dec 15 '14 at 20:34 Sadegh ZahedianSadegh Zahedian 3622 bronze badges It would be better if you described how you fixed the issue and what you changed, rather just posting the code. – Ismail Badawi Dec 15 '14 at 20:37 add a comment |"
74,"
Q: How to modify a text file?        ","134 Unfortunately there is no way to insert into the middle of a file without re-writing it. As previous posters have indicated, you can append to a file or overwrite part of it using seek but if you want to add stuff at the beginning or the middle, you'll have to rewrite it. This is an operating system thing, not a Python thing. It is the same in all languages. What I usually do is read from the file, make the modifications and write it out to a new file called myfile.txt.tmp or something like that. This is better than reading the whole file into memory because the file may be too large for that. Once the temporary file is completed, I rename it the same as the original file. This is a good, safe way to do it because if the file write crashes or aborts for any reason, you still have your untouched original file. share|| follow |||| edited Oct 9 '12 at 12:11 meagar♦ 196k3434 gold badges294294 silver badges306306 bronze badges answered Sep 24 '08 at 6:57 Adam PierceAdam Pierce 29.2k2121 gold badges6565 silver badges8585 bronze badges 3 Do unix tools like awk/sed do something similar in their code? – Manish Gill Mar 22 '13 at 19:16 It's not true that this is the same in all languages. In ActionScript: fileStream.openAsync(filename,FileMode.UPDATE); Then I can go anywhere in the file I want and change anything. – AndrewBenjamin Jul 11 '14 at 3:58 2 @AndrewBenjamin Do you know what system calls ActionScript is making? Is there a possibility that openAsync reads the file and writes a new one after the call? – AlexLordThorsen Dec 2 '14 at 22:23 @Rawrgulmuffins I do not. However, I do know that it isn't reading the entire file into memory, as I have used it to handle filesizes of several GB. I suspect it's the same as writing with C# streamwriter. I view python as a tool for doing small things quickly, rather than large scale development and file manipulation. – AndrewBenjamin Mar 26 '15 at 21:48 3 @AndrewBenjamin, the user isn't asking about seeking around in the file and changing it (every language I know of can do that); he is asking about inserting text, which is different than simply changing/overwriting what is already in the file. Maybe in practical application it is different, but nothing I can find in the ActionScript API indicates that it behaves any different from any other language in this regard. – eestrada Jul 22 '15 at 14:44 | show 1 more comment"
75,"
Q: Python Text Based Game Display        ","2 You clear the screen immediately after drawing, rather than before drawing. Thus, the thing you just drew is erased. def Draw(): frog.Draw() os.system('cls') Try switching the order: def Draw(): os.system('cls') frog.Draw() share|| follow |||| answered Sep 30 '12 at 5:08 AmberAmber 404k6666 gold badges566566 silver badges512512 bronze badges add a comment |"
